lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i,chain
-7.72875,0.819596,0.965593,2,3,0,8.29164,0.385458,351,3
-7.1223,0.955647,0.965593,1,3,0,7.93722,0.181505,352,3
-7.83732,0.919512,0.965593,2,3,0,8.03157,0.397827,353,3
-7.02892,0.853863,0.965593,2,3,0,8.5718,0.21786,354,3
-7.23129,0.961683,0.965593,2,3,0,7.31453,0.311464,355,3
-8.15032,0.86853,0.965593,2,3,0,8.16336,0.429737,356,3
-7.73019,1.0,0.965593,2,3,0,8.19271,0.385627,357,3
-7.02599,0.74658,0.965593,2,3,0,8.87974,0.240399,358,3
-7.67491,0.832935,0.965593,1,3,0,7.94724,0.11743,359,3
-7.28571,1.0,0.965593,1,1,0,7.60345,0.153878,360,3
-7.58956,0.943796,0.965593,1,1,0,7.59652,0.123746,361,3
-7.08898,1.0,0.965593,1,3,0,7.50839,0.190124,362,3
-7.0259,0.919356,0.965593,2,3,0,7.60563,0.240277,363,3
-7.07401,0.985275,0.965593,1,3,0,7.09913,0.194792,364,3
-7.34402,0.953243,0.965593,1,3,0,7.35039,0.146759,365,3
-7.04276,0.938908,0.965593,2,3,0,7.79065,0.254741,366,3
-7.04797,0.998448,0.965593,1,1,0,7.05286,0.257741,367,3
-7.04797,0.750604,0.965593,1,3,0,7.85201,0.257741,368,3
-7.02353,1.0,0.965593,2,3,0,7.04761,0.225896,369,3
-7.02353,0.790207,0.965593,1,3,0,7.79273,0.225896,370,3
-7.66967,0.771025,0.965593,2,3,0,8.43455,0.37836,371,3
-10.1002,0.393816,0.965593,1,1,0,10.1841,0.568559,372,3
-8.46436,1.0,0.965593,2,3,0,9.85136,0.457732,373,3
-7.2065,0.930961,0.965593,1,3,0,8.81652,0.16535,374,3
-7.04423,1.0,0.965593,1,3,0,7.17188,0.207104,375,3
-7.10605,0.984677,0.965593,1,1,0,7.10607,0.185465,376,3
-7.10673,0.99984,0.965593,1,1,0,7.12741,0.185291,377,3
-7.26526,0.964902,0.965593,1,1,0,7.26615,0.156608,378,3
-7.20554,1.0,0.965593,1,1,0,7.28129,0.165506,379,3
-7.56344,0.9769,0.965593,2,3,0,7.5635,0.125817,380,3
-8.25686,0.898662,0.965593,1,1,0,8.25773,0.086109,381,3
